x,y
453,827
121,563
972,238
113,687
549,764
329,276
823,193
435,348
976,825
710,490
231,657
982,253
756,404
332,883
499,744
822,126
699,301
990,174
411,670
134,558
698,357
821,293
450,718
587,833
302,646
788,299
610,567
231,865
992,452
355,675
267,287
478,999
190,321
844,198
113,587
299,708
453,920
610,455
750,219
431,578
963,721
512,843
324,690
217,782
876,499
321,569
195,238
704,689
512,412
356,839
157,295
614,432
798,213
965,125
490,687
823,549
659,264
739,194
812,761
230,488
946,349
175,678
504,932
338,279
105,469
923,503
569,740
612,375
492,813
757,230
304,987
883,412
746,159
328,525
407,790
641,329
902,415
275,743
521,601
189,487
825,357
658,192
737,912
964,303
209,656
399,541
723,374
850,456
911,267
674,821
293,514
756,291
184,578
637,431
912,158
541,693
406,792
301,489
790,659
278,943
521,376
493,691
829,214
345,586
742,167
630,427
901,319
554,763
688,290
739,154
243,570
567,328
974,231
612,469
787,543
502,197
931,309
418,583
134,259
809,374
293,750
670,212
548,437
815,254
100,396
643,702
812,475
351,583
298,167
509,362
937,254
284,576
613,320
726,408
843,569
205,391
389,270
654,502
730,407
818,256
493,726
193,548
628,301
764,582
570,275
399,642
690,428
874,193
329,479
513,740
815,295
192,627
418,503
674,289
539,641
209,682
693,450
324,732
197,584
850,391
269,475
738,125
902,401
315,646
481,752
584,239
763,157
104,496
537,372
679,258
794,430
413,670
592,198
300,728
519,362
801,456
637,235
702,397
849,152
492,716
119,573
723,405
607,186
258,430
854,179
311,632
503,284
734,401
175,692
572,489
297,350
620,472
419,158
793,504
267,743
125,573
687,301
509,357
318,649
740,184
215,500
391,286
637,398
813,201
594,470
410,765
105,293
713,628
487,431
926,572
301,760
835,490
157,340
617,259
792,194
408,576
654,281
579,342
821,200
323,604
914,312
146,458
673,280
329,589
584,439
120,305
738,584
216,472
594,319
700,385
431,609
812,329
571,460
198,742
365,459
627,380
703,259
850,316
293,472
789,210
405,563
615,349
293,761
519,215
840,392
463,299
509,578
739,254
128,492
619,328
704,571
352,263
804,590
450,316
973,528
509,384
201,450
679,275
384,591
732,210
548,674
610,372
180,458
792,590
514,238
369,749
689,371
254,600
401,289
573,624
193,402
715,507
386,298
910,473
140,569
670,248
498,387
134,495
754,382
617,509
195,476
812,693
253,504
401,186
723,495
578,260
490,732
176,579
695,300
342,471
502,289
314,658
670,149
857,394
292,316
619,456
497,283
702,598
823,509
163,482
541,260
307,473
871,359
238,402
619,235
482,690
203,456
357,298
790,178
525,300
628,504
478,192
364,423
572,694
318,489
492,378
158,290
624,703
735,459
140,320
694,258
398,579
310,298
587,473
312,506
640,178
832,416
491,395
509,256
701,478
236,623
478,210
590,364
308,590
742,391
390,583
209,471
673,258
357,412
732,194
601,485
419,297
578,371
196,489
780,239
391,472
509,361
617,489
735,150
218,491
602,385
497,283
710,429
353,672
208,490
819,375
468,283
159,503
600,284
315,479
217,601
480,298
614,357
201,509
419,286
791,364
376,510
604,297
700,159
821,590
140,291
628,198
502,375
472,293
689,315
140,581
795,348
603,192
318,439
419,578
249,354
729,405
476,501
319,186
580,349
248,392
819,278
593,541
387,630
509,317
198,640
173,489
701,254
485,371
312,590
729,359
418,405
218,492
690,597
374,518
215,493
689,364
831,175
407,500
287,619
576,301
798,563
293,120
714,512
208,674
615,495
413,590
281,359
576,204
478,589
159,471
738,340
608,218
153,580
798,391
245,678
619,473
408,315
517,678
174,302
712,490
364,196
803,489
271,376
515,203
680,495
402,365
193,590
619,251
317,409
285,470
805,329
491,487
210,302
673,419
514,268
273,194
792,620
613,489
159,273
578,364
253,409
713,198
489,593
360,271
412,513
198,509
365,408
578,329
243,178
698,491
578,601
210,490
689,215
378,491
594,261
413,387
792,470
185,365
520,413
713,209
360,482
493,298
234,678
710,439
317,490
582,678
419,243
673,509
417,620
108,590
634,231
486,567
320,451
714,492
670,364
218,509
801,237
149,368
608,512
294,203
673,429
354,608
491,517
287,419
678,390
360,591
128,483
694,329
209,432
519,478
678,193
384,590
293,301
742,418
507,620
290,512
417,321
601,457
470,293
157,489
698,150
153,259
467,832
309,174
746,659
210,482
530,341
893,217
411,506
678,274
299,615
732,128
451,490
809,382
623,567
214,489
153,354
782,409
520,273
638,198
494,590
327,264
891,491
364,287
509,761
789,423
617,529
304,621
845,290
715,194
409,532
238,479
523,367
749,315
671,408
210,594
369,275
601,489
587,304
513,406
812,259
721,489
603,275
412,690
287,451
618,376
149,490
736,328
321,598
452,163
819,317
587,482
490,275
712,395
213,589
678,473
529,184
315,412
601,290
492,721
198,386
324,517
413,267
789,394
265,482
134,593
817,298
387,450
254,315
674,582
432,197
328,408
512,683
176,493
291,364
598,409
820,243
605,473
381,198
573,529
210,367
489,274
629,498
721,403
317,296
835,478
196,321
410,589
527,294
691,214
317,650
283,473
509,301
134,692
420,513
710,359
537,582
192,301
638,249
357,459
512,390
715,280
498,219
354,609
286,374
592,461
307,194
641,587
812,258
473,391
678,401
210,576
490,472
159,387
614,299
759,412
523,674
196,289
710,503
380,249
412,597
698,384
492,156
326,490
529,213
745,398
317,295
481,407
213,620
689,315
173,490
598,203
376,589
510,268
210,729
318,452
490,192
698,598
517,450
210,678
607,389
358,497
721,489
310,295
589,624
523,178
361,495
712,204
487,509
318,421
639,398
459,275
218,532
675,391
509,256
317,693
238,490
501,364
578,430
193,287
653,421
210,598
598,349
485,302
718,291
409,257
671,349
312,483
210,690
576,298
451,375
689,489
578,210
612,508
219,473
687,409
210,567
478,392
109,295
654,503
290,218
712,307
498,367
210,587
639,415
352,409
490,198
576,328
253,293
680,482
579,194
317,608
426,295
713,509
328,298
501,462
149,573
734,293
371,592
610,412
218,325
563,482
417,295
687,478
309,209
523,615
294,489
598,183
762,409
490,218
613,298
275,432
734,598
376,204
254,462
589,398
403,509
621,284
178,291
659,374
490,295
218,487
654,329
372,256
591,498
210,567
498,407
591,312
362,589
490,271
276,659
698,190
312,598
534,509
298,271
467,398
410,509
263,578
689,214
203,498
729,362
487,309
634,598
210,487
713,294
394,312
572,209
320,490
689,391
213,509
286,310
509,473
638,217
490,598
234,387
412,371
365,498
283,409
195,590
681,257
413,408
721,509
285,394
234,315
512,298
698,276
571,509
210,603
482,274
367,598
214,321
672,509
523,369
315,481
512,473
390,256
509,314
613,408
259,317
692,529
218,450
584,215
612,490
398,362
273,215
601,498
392,509
178,254
491,368
372,509
215,198
679,310
290,481
493,408
672,283
290,509
317,198
509,467
635,312
178,497
212,315
679,364
317,593
234,205
521,298
610,490
298,412
590,274
312,453
498,319
671,408
238,312
519,278
489,354
213,629
478,312
569,523
210,290
512,481
390,214
610,278
198,509
487,629
367,591
210,390
478,215
321,679
413,589
601,248
369,509
487,254
209,318
538,472
298,276
634,509
210,682
591,294
472,318
509,563
287,598
321,256
210,598
509,412
370,215
671,190
527,629
498,389
214,510
463,209
678,290
287,319
398,598
210,254
698,490
319,178
472,510
312,271
509,367
593,318
210,610
498,367
341,509
210,521
483,273
578,390
492,367
365,478
278,593
214,389
317,509
587,298
390,312
210,487
463,198
690,472
293,509
198,490
612,259
512,398
315,490
571,367
319,482
209,562
490,301
723,298
512,481
372,509
410,235
198,293
490,372
210,593
487,298
321,468
591,210
298,410
256,509
198,472
359,620
325,409
718,509
291,278
679,390
213,573
509,295
614,389
198,578
471,490
273,198
210,462
509,378
356,512
209,490
675,298
371,509
321,390
470,312
398,521
210,318
691,509
298,245
509,194
654,490
210,569
473,367
219,509
578,412
217,459
291,509
612,219
317,482
473,213
509,376
210,498
234,509
578,294
361,298
490,678
318,273
270,509
521,367
690,210
578,509
234,193
471,509
278,512
634,398
210,472
509,254
372,678
294,510
367,409
621,210
490,293
578,467
273,509
290,198
492,472
317,368
678,509
219,194
365,198
709,390
578,509
432,273
512,190
289,509
198,473
391,472
490,563
215,509
472,312
598,234
298,190
509,367
210,234
678,510
287,194
390,198
579,509
218,472
567,409
312,510
198,378
509,212
310,467
215,509
378,273
410,214
509,471
510,367
291,398
567,210
239,498
509,389
215,476
498,509
274,318
601,509
398,367
278,512
509,392
390,278
321,509
215,375
490,254
231,209
509,621
267,900
